Extensive Reading Foundation Graded Reader List																												
Cambridge U. Press					Level Info					Word count / Length				M-Reader		Genre & Audience			Publication Data									Further Information
ERF code	Publisher	Title ERF Language Learner Literature Awards: LLLA Winners in Red, Finalists in Blue	Author(s)	Series	Publisher level	Headwords	ERF level (E) Early (M) Mid (H) High	Common European Framework CEFR level	Yomi- yasusa level (YL) Average	Word count  (body only)	Additional material wordcount	Actual or Estimated count?	Book length (Pages)	Quiz  Avaliable? (Y)es, (N)o,  (S)oon	MReader Reading Level [RL]	Fiction (F) Nonfiction (NF)	Genre mystery, adventure, love, horror, etc.	Target age group: children, teen, adult, etc.	ISBN A (without CD/CD-ROM)	ISBN B (with CD/CD-ROM)	ISBN C (?)	ISBN D (?)	ISBN C (ebook)	Audio available free online	Copyright  Year	Year First Published	In print?	Notes on publishing history, awards, special features, etc.
CDIR1	Cambridge U. Press	Blizzards: Killer Snowstorms	Kocienda, Genevieve	Cambridge Discovery Education Interactive Readers	Beginning	400	Elementary (E)	A1		1,339 				N	2	NF		Teen/adult	9781107621640					Yes				
CDIR1	Cambridge U. Press	Catch a Wave: The Story of Surfing	Kocienda, Genevieve	Cambridge Discovery Education Interactive Readers	Beginning	400	Elementary (E)	A1		1,772 				Y	2	NF		Teen/adult	9781107651913					Yes				
CDIR1	Cambridge U. Press	Cool Jobs	Maule, David	Cambridge Discovery Education Interactive Readers	Beginning	400	Elementary (E)	A1		1,611 				Y	2	NF		Teen/adult	9781107671607					Yes				
CDIR1	Cambridge U. Press	Crocs and Gators	Beaver, Simon	Cambridge Discovery Education Interactive Readers	Beginning	400	Elementary (E)	A1		1,418 				Y	2	NF		Teen/adult	9781107655072					Yes				
CDIR1	Cambridge U. Press	Drink Up!	Holmes, Karen	Cambridge Discovery Education Interactive Readers	Beginning	400	Elementary (E)	A1		1,652 				N	2	NF		Teen/adult	9781107678545					Yes				
CDIR1	Cambridge U. Press	Eat Up!	Walker, Theo	Cambridge Discovery Education Interactive Readers	Beginning	400	Elementary (E)	A1		1,551 				Y	2	NF		Teen/adult	9781107689626					Yes				
CDIR1	Cambridge U. Press	Fantastic Creatures: Monsters, Mermaids, and Wild Men	Beaver, Simon	Cambridge Discovery Education Interactive Readers	Beginning	400	Elementary (E)	A1		1,587 				N	2	NF		Teen/adult	9781107696372					Yes				
CDIR1	Cambridge U. Press	Genius	Maule, David	Cambridge Discovery Education Interactive Readers	Beginning	400	Elementary (E)	A1		1,513 				Y	2	NF		Teen/adult	9781107678651					Yes				
CDIR1	Cambridge U. Press	It's Time (To Learn About Time)	Beaver, Simon	Cambridge Discovery Education Interactive Readers	Beginning	400	Elementary (E)	A1		1,523 				Y	2	NF		Teen/adult	9781107667068					Yes				
CDIR1	Cambridge U. Press	Jeff Corwin: Wild Man	Bourke, Kenna	Cambridge Discovery Education Interactive Readers	Beginning	400	Elementary (E)	A1		1,660 				N	2	NF		Teen/adult	9781107680395					Yes				
CDIR1	Cambridge U. Press	Light in the Night, A: The Moon	Beaver, Simon	Cambridge Discovery Education Interactive Readers	Beginning	400	Elementary (E)	A1		1,398 				N	2	NF		Teen/adult	9781107647565					Yes				
CDIR1	Cambridge U. Press	Paris: City of Light	Beaver, Simon	Cambridge Discovery Education Interactive Readers	Beginning	400	Elementary (E)	A1		1,532 				N	2	NF		Teen/adult	9781107645776					Yes				
CDIR1	Cambridge U. Press	Saved! Heroes in Everyday Life	Beaver, Simon	Cambridge Discovery Education Interactive Readers	Beginning	400	Elementary (E)	A1		1,509 				N	2	NF		Teen/adult	9781107647053					Yes				
CDIR1	Cambridge U. Press	So Cute!	Bourke, Kenna	Cambridge Discovery Education Interactive Readers	Beginning	400	Elementary (E)	A1		1,267 				Y	2	NF		Teen/adult	9781107646490					Yes				
CDIR1	Cambridge U. Press	Traffic Jams: The Road Ahead	Beaver, Simon	Cambridge Discovery Education Interactive Readers	Beginning	400	Elementary (E)	A1		1,490 				Y	2	NF		Teen/adult	9781107674684					Yes				
CDIR1	Cambridge U. Press	Wild Australia!	Beaver, Simon	Cambridge Discovery Education Interactive Readers	Beginning	400	Elementary (E)	A1		1,266 				Y	2	NF		Teen/adult	9781107621657					Yes				
CDIR2	Cambridge U. Press	Alaska: Wild and Free	Harris, Nic	Cambridge Discovery Education Interactive Readers	High Beginning	450	Elementary (M)	A1+		1,715 				Y	3	NF		Teen/adult	9781107674646					Yes				
CDIR2	Cambridge U. Press	Are You Listening? The Sense of Hearing	Maule, David	Cambridge Discovery Education Interactive Readers	High Beginning	450	Elementary (M)	A1+		1,577 				N	3	NF		Teen/adult	9781107632516					Yes				
CDIR2	Cambridge U. Press	Around Japan in Three Days	Beaver, Simon	Cambridge Discovery Education Interactive Readers	High Beginning	450	Elementary (M)	A1+		1,309 				N	3	NF		Teen/adult	9781107661332					Yes				
CDIR2	Cambridge U. Press	Deadly Animals	Bourke, Kenna	Cambridge Discovery Education Interactive Readers	High Beginning	450	Elementary (M)	A1+		1,598 				N	3	NF		Teen/adult	9781107693715					Yes				
CDIR2	Cambridge U. Press	Do Not Disturb: The Importance of Sleep	Kocienda, Genevieve	Cambridge Discovery Education Interactive Readers	High Beginning	450	Elementary (M)	A1+		1,679 				Y	3	NF		Teen/adult	9781107646827					Yes				
CDIR2	Cambridge U. Press	Fast: The Need for Speed	Kocienda, Genevieve	Cambridge Discovery Education Interactive Readers	High Beginning	450	Elementary (M)	A1+		1,797 				N	3	NF		Teen/adult	9781107680685					Yes				
CDIR2	Cambridge U. Press	Feeding Time: The Feeding Habits of Animals	Walker, Theo	Cambridge Discovery Education Interactive Readers	High Beginning	450	Elementary (M)	A1+		1,608 				N	3	NF		Teen/adult	9781107678675					Yes				
CDIR2	Cambridge U. Press	Growing Up: From Baby to Adult	Harris, Nic	Cambridge Discovery Education Interactive Readers	High Beginning	450	Elementary (M)	A1+		1,595 				N	3	NF		Teen/adult	9781107687448					Yes				
CDIR2	Cambridge U. Press	Life in Mumbai	Sargent, Brian	Cambridge Discovery Education Interactive Readers	High Beginning	450	Elementary (M)	A1+		1,394 				N	3	NF		Teen/adult	9781107621671					Yes				
