Extensive Reading Foundation Graded Reader List																											
Macmillan ELT					Level Info					Wordcount / Length				M-Reader		Genre & Audience			Publication Data								Further Information
ERF code	Publisher	Title ERF Language Learner Literature Awards: LLLA Winners in Red, Finalists in Blue	Author(s)	Series	Publisher level	Headwords	ERF level (E) Early (M) Mid (H) High	Common European Framework CEF level	Yomi- yasusa level (YL) Average	Word count  (body only)	Additional material wordcount	Actual or Estimated count?	Book length (Pages)	Quiz  Avaliable? (Y)es, (N)o,  (S)oon	MReader Reading Level [RL]	Fiction (F) Nonfiction (NF)	Genre mystery, adventure, love, horror, etc.	Target age group: children, teen, adult, etc.	ISBN A (without CD/CD-ROM)	ISBN B (with CD/CD-ROM)	ISBN C (eBook)	ISBN D (Audiobook)	ISBN E (?)	Copyright  Year	Year First Published	In print?	Notes on publishing history, awards, special features, etc.
MCR1		Clothes We Wear/George's Snow Clothes	Joanna Pascoe	Macmillan Children's Readers	1 - pre-Starters	NA		Absolute beginner		245		A	24			F/NF		Children	9780230469198	N/A	N/A	N/A		2015	2015	Y	free audio download
MCR1	Macmillan Publishing	Colin's Colours	Carol Read and Ana Soberón	Macmillan Children's Readers	1 - pre-Starters	NA		Absolute beginner		60		A	16	N		F 		Children	9781405057172	N/A	N/A	N/A		2004	2004	Y	free audio download
MCR1	Macmillan Publishing	Eddie's Exercise	Paul Shipton	Macmillan Children's Readers	1 - pre-Starters	NA		Absolute beginner		86		A	16	N		F 		Children	9780230010062	N/A	N/A	N/A		2007	2007	Y	free audio download
MCR1	Macmillan Publishing	Fantastic Freddy	Donna Shaw	Macmillan Children's Readers	1 - pre-Starters	NA		Absolute beginner		94		A	16	N		F 		Children	9780230010048	N/A	N/A	N/A		2007	2007	Y	free audio download
MCR1	Macmillan Publishing	Food, Food, Food! - The Cat's Dinner	Paul Shipton	Macmillan Children's Readers	1 - pre-Starters	NA		Absolute beginner		269		A	16	N		F/NF		Children	9780230443648	N/A	N/A	N/A		2013	2013	Y	free audio download
MCR1	Macmillan Publishing	Frog and the Crocodile, The	Paul Shipton	Macmillan Children's Readers	1 - pre-Starters	NA		Absolute beginner		133		A	16	N		F 		Children	9780230402010	N/A	N/A	N/A		2010	2010	Y	free audio download
MCR1	Macmillan Publishing	Hide and Seek	Series Authors	Macmillan Children's Readers	1 - pre-Starters	NA		Absolute beginner		214		A	16	N		F 		Children	9780230402003	N/A	N/A	N/A		2011	2011	Y	free audio download
MCR1	Macmillan Publishing	Is It a Butterfly?	Claire Llewellyn	Macmillan Children's Readers	1 - pre-Starters	NA		Absolute beginner		234		A	16	N		F 		Children	9781405057202	N/A	N/A	N/A		2004	2004	Y	LLLA Winner 2005; free audio download
MCR1	Macmillan Publishing	Pip the Pirate	Cheryl Palin	Macmillan Children's Readers	1 - pre-Starters	NA		Absolute beginner		59		A	16	N		F 		Children	9781405057271	N/A	N/A	N/A		2004	2004	Y	free audio download
MCR1	Macmillan Publishing	We Love Toys - An Adventure Outside	Paul Shipton	Macmillan Children's Readers	1 - pre-Starters	NA		Absolute beginner		337		A	16	N		F/NF		Children	9780230443655	N/A	N/A	N/A		2013	2013	Y	free audio download
