Extensive Reading Foundation Graded Reader List																											
Oxford U. Press					Level Info					Word count / Length				M-Reader		Genre & Audience			Publication Data								Further Information
ERF code	Publisher	Title ERF Language Learner Literature Awards: LLLA Winners in Red, Finalists in Blue	Author(s)	Series	Publisher level	Headwords	ERF level (E) Early (M) Mid (H) High	Common European Framework CEF level	Yomi- yasusa level (YL) Average	Word count  (body only)	Additional material wordcount	Actual or Estimated count?	Book length (Pages)	Quiz  Avaliable? (Y)es, (N)o,  (S)oon	MReader Reading Level [RL]	Fiction (F) Nonfiction (NF)	Genre mystery, adventure, love, horror, etc.	Target age group: children, teen, adult, etc.	ISBN A (book only,  no CD/CD-ROM)	ISBN B (with audio CD) (Dominoes & Classic Tales w/ CD/CD-ROM) 	ISBN C (wtih MP3 CD)	ISBN D (eBook)	ISBN E (?)	Copyright  Year	Year First Published	In print?	Notes on publishing history, awards, special features, etc.
OBWS	Oxford U. Press	Connecticut Yankee in King Arthur's Court, A	Mark Twain	Oxford Bookworms Library	Starter	250 	Beginner (H)	A1	0.8	890 		A	48	Y	1 	F	Classics	Age 9/10+ up to adult	978 0 19 4234115	not available				2008		Y	comic strip
OBWS	Oxford U. Press	Dead Man's Money	John Escott	Oxford Bookworms Library	Starter	250 	Beginner (H)	A1	0.8	1,260 		A	48	Y	1 	F	Crime and Mystery	teen & adult	9780194793650	not available				2011		Y	comic strip
OBWS		Cat, The	John Escott	Oxford Bookworms Library	Starter	250 	Beginner (H)	A1	0.8	1,292 		A	48		1 	F	Crime and Mystery	teen & adult	9780194786096	9780194234399	9780194785983				2016	Y	Audio-AmE
OBWS	Oxford U. Press	Drive into Danger	Rosemary Border	Oxford Bookworms Library	Starter	250 	Beginner (H)	A1	0.9	1,400 		A	48	Y	1 	F	Thriller and Adventure	teen & adult	978 0 19 4234207	978 0 19 423439 9	9780194620260			2008		Y	Audio-BrE
OBWS	Oxford U. Press	Escape	Foster and Burrows	Oxford Bookworms Library	Starter	250 	Beginner (H)	A1	0.9	930 		A	48	Y	1 	F	Thriller and Adventure	teen & adult	978 0 19 4234122	not available				2008		Y	comic strip
OBWS	Oxford U. Press	Fifteenth Character, The	Rosemary Border	Oxford Bookworms Library	Starter	250 	Beginner (H)	A1	0.9	1,400 		A	48	Y	1 	F	Thriller and Adventure	Age 9/10+ up to adult	978 0 19 4234214	9780194236577	9780194620291			2008		Y	Audio-BrE
OBWS	Oxford U. Press	Girl on a Motorcycle	John Escott	Oxford Bookworms Library	Starter	250 	Beginner (H)	A1	0.9	1,300 		A	48	Y	1 	F	Crime and Mystery	teen & adult	978 0 19 4234221	9780194234412	9780194620239			2008		Y	Audio-AmE
OBWS	Oxford U. Press	Girl with Green Eyes, The	John Escott	Oxford Bookworms Library	Starter	250 	Beginner (H)	A1	0.9	1,702 		A	48	Y	1 	F	Crime and Mystery	teen & adult	978 0 19 47943 3	9780194794336	9780194620246			2012		Y	LLLA Winner 2015; Audio-BrE
OBWS	Oxford U. Press	Girl with Red Hair, The	Christine Lindop	Oxford Bookworms Library	Starter	250 	Beginner (H)	A1	0.9	1,702 		A	48	Y	1 	F	Human Interest	teen & adult	978 0 19 4234351	9780194236591	9780194637312			2009		Y	Audio-BrE
OBWS	Oxford U. Press	Give us the Money	Maeve Clarke	Oxford Bookworms Library	Starter	250 	Beginner (H)	A1	0.8	690 		A	48	Y	1 	F	Crime and Mystery	Age 9/10+ up to adult	978 0 19 4234139	not available				2008		Y	comic strip
