Extensive Reading Foundation Graded Reader List			Author(s)*っｙ																								
Pearson ELT					Level Info					Word count / Length				M-Reader		Genre & Audience			Publication Data								Further Information
ERF code	Publisher	Title ERF Language Learner Literature Awards: LLLA Winners in Red, Finalists in Blue	Author(s)*っｙ	Series	Publisher level	Headwords	ERF level (E) Early (M) Mid (H) High	Common European Framework CEF level	Yomi- yasusa level (YL) Average	Word count  (body only)	Additional material wordcount	Actual or Estimated count?	Book length (Pages)	Quiz  Avaliable? (Y)es, (N)o,  (S)oon	MReader Reading Level [RL]	Fiction (F) Nonfiction (NF)	Genre mystery, adventure, love, horror, etc.	Target age group: children, teen, adult, etc.	ISBN A (without CD/CD-ROM)	ISBN B (with CD/CD-ROM)	ISBN C (?)	ISBN D (?)	ISBN E (?)	Copyright  Year	Year First Published	In print?	Notes on publishing history, awards, special features, etc.
PARX0	Pearson	Newspaper Chase	John Escott 	Pearson English Active Readers	Easystarts	200 	Beginner (M)	A1	0.8	806		A	22	Y	1		Original	teen, adult		9781405851985				2007	2007	Y	
PARX1	Pearson	African Safari	Izabella Hearn	Pearson English Active Readers	1	300 	Beginner (H)	A1	1.0-1.2	1,980		A	22	Y	2		Contemporary	teen, adult		9781408264041				2012	2012	Y	
PARX1	Pearson	Barcelona Game, The	Stephen Rabley	Pearson English Active Readers	1	300 	Beginner (H)	A1	1.0-1.2	1,727		A	22	Y	2		Original	teen, adult		9781405884389				2008	2008	Y	
PARX1	Pearson	Crown, The	M. R. James	Pearson English Active Readers	1	300 	Beginner (H)	A1	1.2-1.4	3,937		A	44	Y	2		Classic	teen, adult		9781405852005				2007	2007	Y	
PARX1	Pearson	Golden Seal, The	Marshall, James Vance	Pearson English Active Readers	1	300 	Beginner (H)	A1	1.0-1.2	4,691		A	48	Y	2		Contemporary	teen, adult		9781408261187				2011	2011	Y	
PARX1	Pearson	Olympic Promise, The	Edwards, Lynda	Pearson English Active Readers	1	300 	Beginner (H)	A1	1.0-1.2	2,750		A	24	Y	2		Original	teen, adult		9781408261330				2011	2011	Y	
PARX1	Pearson	Theseus and the Minotaur	Ken Beatty	Pearson English Active Readers	1	300 	Beginner (H)	A1	1.0-1.2	1,558		A	22	Y	2		Classic	teen, adult		9781405852036				2007	2007	Y	
PARX2	Pearson	Anne of Green Gables	 Lucy Maude Montgomery	Pearson English Active Readers	2	600 	Elementary (M)	A2	2.2-2.4	7,856		A	60	Y	3		Classic	teen, adult		9781405852050				2007	2007	Y	
PARX2	Pearson	Earthquake, The	Laird, Elizabeth	Pearson English Active Readers	2	600 	Elementary (M)	A2	2.4-2.6	5,191		A	48	Y	3		Original	teen, adult		9781408209516				2009	2009	Y	
PARX2	Pearson	First Emperor Of China	Jane Rollason	Pearson English Active Readers	2	600	Elementary (M)	A2	2.2-2.4	4,923		A	48	Y	3		Original	teen, adult		9781408231982				2010	2010	Y	
PARX2	Pearson	Mr. Bean	 Richard Curtis & Robin Driscoll	Pearson English Active Readers	2	600 	Elementary (M)	A2	2.2-2.4	6,742 		A	52	Y	3		Contemporary	teen, adult		9781405884433				2008	2008	Y	
PARX2	Pearson	Nelson Mandela	 Coleen Degnan-Veness	Pearson English Active Readers	2	600 	Elementary (M)	A2	2.2-2.4	5,416 		A	44	S	3		Original	teen, adult		9781405852098				2007	2007	Y	
PARX2	Pearson	Nightmare Before Christmas, The	 Tim Burton	Pearson English Active Readers	2	600	Elementary (M)	A2	2.4-2.6	8,038		A	60	Y	3		Contemporary	teen, adult		9781405852104				2007	2007	Y	LLLA Finalist 2008
PARX2	Pearson	Secret Garden	Burnett, Frances Hodgson	Pearson English Active Readers	2	600 	Elementary (M)	A2	2.4-2.6	9,944		A	64	Y	3		Classic	teen, adult		9781408209523				2009	2009	Y	
PARX2	Pearson	Water for Life	 Bernard Smith	Pearson English Active Readers	2	600 	Elementary (M)	A2	2.2-2.4	6,844		A	44	Y	3		Original	teen, adult		9781405884440				2008	2008	Y	
