r cabinet lighting																											
Penguin ELT					Level Info					Word count / Length				M-Reader		Genre & Audience			Publication Data								Further Information
ERF code	Publisher	Title ERF Language Learner Literature Awards: LLLA Winners in Red, Finalists in Blue	Author(s)	Series	Publisher level	Headwords	ERF level (E) Early (M) Mid (H) High	Common European Framework CEF level	Yomi- yasusa level (YL) Average	Word count  (body only)	Additional material wordcount	Actual or Estimated count?	Book length (Pages)	Quiz  Avaliable? (Y)es, (N)o,  (S)oon	MReader Reading Level [RL]	Fiction (F) Nonfiction (NF)	Genre mystery, adventure, love, horror, etc.	Target age group: children, teen, adult, etc.	ISBN A (without CD/CD-ROM)	ISBN B (with CD/CD-ROM)	ISBN C (?)	ISBN D (?)	ISBN E (?)	Copyright  Year	Year First Published	In print?	Notes on publishing history, awards, special features, etc.
PAR0	Penguin	Blue Cat Club, The	Bernard Smith 	Penguin Active Reading	Easystarts	200 	Beginner (M)	A1	0.8	884		A	22	Y	1		Original	teen, adult	9781408293379	9781405851961				2007	2007	Y	formerly Penguin Readers
PAR0	Penguin	Cup In The Forest	Collins, Anne	Penguin Active Reading	Easystarts	200 	Beginner (M)	A1	0.8	979		A	24	Y	1		Original	teen, adult	9781408293430	9781408209592				2009	2009	Y	formerly Penguin Readers
PAR0	Penguin	Good Day Bad Day	Paul Shipton	Penguin Active Reading	Easystarts	200 	Beginner (M)	A1	0.8	1,031		A	24	Y	1		Original	teen, adult	9781408293386	9781408232071				2010	2010	Y	
PAR0	Penguin	Hat, The	John Escott 	Penguin Active Reading	Easystarts	200 	Beginner (M)	A1	0.8	765		A	22	Y	1		Original	teen, adult	9781408293393	9781405884549				2008	2008	Y	
PAR0	Penguin	Kim’s Choice	Brigit Viney 	Penguin Active Reading	Easystarts	200 	Beginner (M)	A1	0.8	891		A	22	Y	1		Original	teen, adult	9781408293409	9781405851978				2007	2007	Y	formerly Penguin Readers
PAR0	Penguin	Long Road, The	Ron Smith 	Penguin Active Reading	Easystarts	200 	Beginner (M)	A1	0.8	1,123		A	22	Y	1		Original	teen, adult	9781408270325	9781405884556				2008	2008	Y	formerly Penguin Readers
PAR0	Penguin	Meet The Martians	Stephen Rabley	Penguin Active Reading	Easystarts	200 	Beginner (M)	A1	0.8	906		A	24	Y	1		Original	teen, adult	9781408293416	9781408231203				2010	2010	Y	
PAR0	Penguin	Newspaper Chase	John Escott 	Penguin Active Reading	Easystarts	200 	Beginner (M)	A1	0.8	806		A	22	Y	1		Original	teen, adult	9781408270318	9781405851985				2007	2007	Y	formerly Penguin Readers
PAR0	Penguin	Slave Boy of Pompeii, The	Smith, Bernard	Penguin Active Reading	Easystarts	200	Beginner (M)	A1	0.8	1,311		A	24	Y	1		Original	teen, adult	9781408293423	9781408261248				2011	2011	Y	
PAR1	Penguin	African Safari	Izabella Hearn	Penguin Active Reading	1	300 	Beginner (H)	A1	1.0-1.2	1,980		A	22	Y	2		Contemporary	teen, adult	9781447931560	9781408264041				2012	2012	Y	
PAR1	Penguin	Amazon Rally	Eduardo Amos & Elisabeth Prescher	Penguin Active Reading	1	300 	Beginner (H)	A1	1.0-1.2	1,376		A	22	Y	2		Original	teen, adult	9781408270073	9781405851992				2007	2007	Y	formerly Penguin Readers
PAR1	Penguin	Barcelona Game, The	Stephen Rabley	Penguin Active Reading	1	300 	Beginner (H)	A1	1.0-1.2	1,727		A	22	Y	2		Original	teen, adult	9781408293010	9781405884389				2008	2008	Y	formerly Penguin Readers
PAR1	Penguin	Crown, The	M. R. James	Penguin Active Reading	1	300 	Beginner (H)	A1	1.2-1.4	3,937		A	44	Y	2		Classic	teen, adult	9781408293027	9781405852005				2007	2007	Y	formerly Penguin Readers
PAR1	Penguin	Galapagos, The	Izabella Hearn	Penguin Active Reading	1	300	Beginner (H)	A1	1.0-1.2	2,110		A	24	Y	2		Original	teen, adult	9781408270097	9781408231173				2010	2010	Y	
PAR1	Penguin	Golden Seal, The	Marshall, James Vance	Penguin Active Reading	1	300 	Beginner (H)	A1	1.0-1.2	4,691		A	48	Y	2		Contemporary	teen, adult	9781408293072	9781408261187				2011	2011	Y	
PAR1	Penguin	Island for Sale	Anne Collins	Penguin Active Reading	1	300 	Beginner (H)	A1	1.0-1.2	1,664		A	22	Y	2		Original	teen, adult	9781408293034	9781405852012				2007	2007	Y	formerly Penguin Readers
PAR1	Penguin	Kylie Minogue	Liz Kilby	Penguin Active Reading	1	300 	Beginner (H)	A1	1.0-1.2	1,895		A	22	Y	2		Original	teen, adult	9781408293041	9781405884396				2008	2008	Y	
PAR1	Penguin	Little Women	Louisa May Alcott	Penguin Active Reading	1	300	Beginner (H)	A1	1.2-1.4	3,552		A	44	Y	2		Classic	teen, adult	9781408270080	9781405852029				2007	2007	Y	
PAR1	Penguin	Olympic Promise, The	Edwards, Lynda	Penguin Active Reading	1	300 	Beginner (H)	A1	1.0-1.2	2,750		A	24	Y	2		Original	teen, adult	9781408293058	9781408261330				2011	2011	Y	
PAR1	Penguin	Outsiders, The	Lynda Edwards	Penguin Active Reading	1	300 	Beginner (H)	A1	1.0-1.2	2,650		A	22	Y	2		Original	teen, adult	9781447931577	9781408264058				2012	2012	Y	
PAR1	Penguin	Rainbow Serpent, The	James Vance Marshall	Penguin Active Reading	1	300 	Beginner (H)	A1	1.0-1.2	2,874		A	22	Y	2		Classic	teen, adult	9781408293065	9781405884402				2008	2008	Y	
